wikiID,freeID,movie_name,release_date,revenue,runtime,languages,countries,genres,character_name,birth,gender,height,ethnicity_code,actor_name,age_at_release,freeID_character_actor_map,freeID_character,freeID_actor,ethnicity_name
11448183,/m/02rc_h4,Bindiya Chamkegi,1984-01-20,,,"{""/m/03k50"": ""Hindi Language""}",['India'],"{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",rahim,1923-11-11,M,,/m/0dryh9k,Johnny Walker,60.0,/m/02vd0_r,/m/0h6_rbb,/m/07l4kn,
4300418,/m/0bvx7h,The Hero: Love Story of a Spy,2003-04-11,,182.0,"{""/m/03k50"": ""Hindi Language""}",['India'],"{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action"", ""/m/02wtdkf"": ""Musical Drama""}",i.s.i chief ishak khan,1932-06-22,M,,/m/0dryh9k,Amrish Puri,70.0,/m/0k5bsd,/m/0h73qj8,/m/01k6nm,
1072373,/m/043j2x,Minsaara Kanavu,1997-01-14,,148.0,"{""/m/07c9s"": ""Tamil Language""}",['India'],"{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}",amal raj,1938-05-19,M,,/m/0d9q7j,Girish Karnad,58.0,/m/03kxk50,/m/0h75gdm,/m/04ch23,Gaud Saraswat Brahmin
9944484,/m/04dld6,The Battle of Algiers,1966-09-03,,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","['Italy', 'Algeria']","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/03mqtr"": ""Political drama"", ""/m/03hn0"": ""Historical drama""}",ali la pointe,,M,,,Brahim Haggiag,,/m/0k4db3,/m/0n1r4ft,/m/0k4d9h,
9944484,/m/04dld6,The Battle of Algiers,1966-09-03,,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","['Italy', 'Algeria']","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/03mqtr"": ""Political drama"", ""/m/03hn0"": ""Historical drama""}",halima,,F,,,Fusia El Kader,,/m/0gc3wv7,/m/0n1rn10,/m/0gb_xsd,
9944484,/m/04dld6,The Battle of Algiers,1966-09-03,,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","['Italy', 'Algeria']","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/03mqtr"": ""Political drama"", ""/m/03hn0"": ""Historical drama""}",petit omar,,M,,,Mohamed Ben Kassen,,/m/0j9bd16,/m/0n1rptt,/m/0j9bd14,
29174042,/m/0dlm0sz,Toll Booth,2010-10-09,,97.0,"{""/m/02hwyss"": ""Turkish Language""}",['Turkey'],"{""/m/07s9rl0"": ""Drama""}",ibrahim,1980-07-28,M,,,Enes Mazak,30.0,/m/0n218tf,/m/0n218tj,/m/0n218tr,
29174042,/m/0dlm0sz,Toll Booth,2010-10-09,,97.0,"{""/m/02hwyss"": ""Turkish Language""}",['Turkey'],"{""/m/07s9rl0"": ""Drama""}",mustafa,,M,,,Tolga Yeter,,/m/0n218qm,/m/0n218qq,/m/0n218qy,
6471697,/m/0g6kwp,Ajooba,1991-04-12,,179.0,"{""/m/03k50"": ""Hindi Language""}","['India', 'Soviet Union']","{""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/01chg"": ""Bollywood""}",hassan,1952-09-04,M,1.7,/m/02sch9,Rishi Kapoor,38.0,/m/0jt506,/m/0h37x2y,/m/03f02ct,Punjabis
6471697,/m/0g6kwp,Ajooba,1991-04-12,,179.0,"{""/m/03k50"": ""Hindi Language""}","['India', 'Soviet Union']","{""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/01chg"": ""Bollywood""}",amir khan,1929-01-08,M,,/m/02sch9,Saeed Jaffrey,62.0,/m/0jt50p,/m/0h7s8dh,/m/05d7rk,Punjabis
